t,lead_I
7344.6,-511.74406375476343
7346.6,-476.6012066119064
7348.6,-474.0297780404777
7350.6,-483.0297780404777
7352.6,-463.45834946904915
7354.6,-410.88692089762066
7356.6,-360.4583494690492
7358.6,-338.1726351833349
7360.6,-330.31549232619204
7362.6,-306.02977804047777
7364.6,-259.6012066119063
7366.6,-218.88692089762066
7368.6,-209.4583494690492
7370.6,-222.17263518333493
7372.6,-226.88692089762066
7374.6,-209.88692089762066
7376.6,-189.60120661190635
7378.6,-196.31549232619207
7380.6,-240.4583494690492
7382.6,-299.02977804047777
7384.58,-337.6012066119064
7386.55,-348.4583494690492
7388.53,-359.02977804047777
7390.5,-392.8869208976206
7392.5,-433.45834946904915
7394.5,-439.17263518333493
7396.5,-395.74406375476354
7398.5,-340.7440637547635
7400.5,-327.88692089762066
7402.5,-366.6012066119063
7404.5,-409.17263518333493
7406.5,-412.17263518333493
7408.5,-396.1726351833349
7410.5,-414.31549232619204
7412.5,-471.8869208976206
7414.5,-512.7440637547635
7416.5,-491.1726351833348
7418.5,-431.17263518333493
7420.5,-396.6012066119064
7422.5,-413.3154923261921
7424.5,-442.172635183335
7426.5,-438.31549232619204
7428.5,-412.315492326192
7430.5,-410.8869208976206
7432.5,-451.60120661190626
7434.5,-503.88692089762066
7436.5,-527.315492326192
7438.5,-514.0297780404777
7440.5,-495.31549232619204
7442.5,-506.17263518333493
7444.5,-539.0297780404777
7446.5,-551.315492326192
7448.5,-522.0297780404778
7450.5,-477.172635183335
7452.5,-452.74406375476354
7454.5,-453.31549232619204
7456.5,-449.45834946904915
7458.5,-411.6012066119063
7460.5,-349.45834946904915
7462.4,-312.02977804047777
7464.4,-326.7440637547635
7466.4,-353.88692089762066
7468.4,-334.02977804047777
7470.4,-270.31549232619204
7472.4,-224.45834946904924
7474.4,-231.17263518333493
7476.4,-252.31549232619207
7478.4,-232.88692089762063
7480.4,-179.4583494690492
7482.4,-152.88692089762066
7484.4,-190.0297780404778
7486.4,-258.4583494690492
7488.4,-299.1726351833349
7490.4,-296.6012066119063
7492.4,-288.8869208976206
7494.4,-311.0297780404777
7496.4,-344.8869208976206
7498.4,-342.0297780404777
7500.4,-291.8869208976206
7502.4,-239.31549232619204
7504.4,-224.4583494690492
7506.4,-237.02977804047777
7508.4,-240.4583494690492
7510.4,-216.17263518333488
